date,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,LEO,TRX,HT,CRO,STO,DASH,ETC,MIN,HEDG,NEO,ATOM,MIOTA,HEX,ZEC,XEM,MKR,INO,ONT,OKB,DOGE,FTT,BAT,PAX,VET,ELAMA,PLF,DGB,BTG,MWC,CCXX,ZRX,HYN,INB,DCR,TNC,THETA,OMG,DNA,ICX,DOT,WBTC,DAI,YFI,LEND
2014-11-28,376.45,NA,NA,0.015165,NA,NA,3.6,NA,NA,NA,NA,0.002861,NA,NA,0.564761,NA,NA,NA,NA,NA,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000245,NA,NA,NA,NA,NA,NA,6.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-29,375.49,NA,NA,0.013982,NA,NA,3.59,NA,NA,NA,NA,0.002521,NA,NA,0.565711,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000243,NA,NA,NA,NA,NA,NA,6.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-30,378.05,NA,NA,0.011211,NA,NA,3.58,NA,NA,NA,NA,0.00221,NA,NA,0.567552,NA,NA,NA,NA,NA,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000242,NA,NA,NA,NA,NA,NA,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01,379.24,NA,NA,0.012559,NA,NA,3.58,NA,NA,NA,NA,0.002541,NA,NA,0.4745,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000242,NA,NA,NA,NA,NA,NA,7.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-02,381.32,NA,NA,0.013158,NA,NA,3.63,NA,NA,NA,NA,0.002409,NA,NA,0.527409,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024,NA,NA,NA,NA,NA,NA,7.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-03,375.01,NA,NA,0.01313,NA,NA,3.61,NA,NA,NA,NA,0.002373,NA,NA,0.507566,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000237,NA,NA,NA,NA,NA,NA,6.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-04,369.6,NA,NA,0.013343,NA,NA,3.59,NA,NA,NA,NA,0.002375,NA,NA,0.456468,NA,NA,NA,NA,NA,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023,NA,NA,NA,NA,NA,NA,6.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-05,376.85,NA,NA,0.013785,NA,NA,3.62,NA,NA,NA,NA,0.002356,NA,NA,0.428893,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000233,NA,NA,NA,NA,NA,NA,6.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-06,374.79,NA,NA,0.014406,NA,NA,3.61,NA,NA,NA,NA,0.002407,NA,NA,0.443703,NA,NA,NA,NA,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023,NA,NA,NA,NA,NA,NA,6.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-07,375.1,NA,NA,0.014794,NA,NA,3.71,NA,NA,NA,NA,0.002329,NA,NA,0.470556,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000229,NA,NA,NA,NA,NA,NA,6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-08,361.91,NA,NA,0.013421,NA,NA,3.65,NA,NA,NA,NA,0.002339,NA,NA,0.448344,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000221,NA,NA,NA,NA,NA,NA,6.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-09,352.22,NA,NA,0.015068,NA,NA,3.52,NA,NA,NA,NA,0.002249,NA,NA,0.389608,NA,NA,NA,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00021,NA,NA,NA,NA,NA,NA,5.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-10,346.36,NA,NA,0.015907,NA,NA,3.5,NA,NA,NA,NA,0.002435,NA,NA,0.389659,NA,NA,NA,NA,NA,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000209,NA,NA,NA,NA,NA,NA,5.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-11,350.51,NA,NA,0.016374,NA,NA,3.48,NA,NA,NA,NA,0.002585,NA,NA,0.398488,NA,NA,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000206,NA,NA,NA,NA,NA,NA,5.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12,352.54,NA,NA,0.016374,NA,NA,3.49,NA,NA,NA,NA,0.002525,NA,NA,0.375733,NA,NA,NA,NA,NA,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000206,NA,NA,NA,NA,NA,NA,5.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13,347.38,NA,NA,0.016992,NA,NA,3.48,NA,NA,NA,NA,0.002553,NA,NA,0.375961,NA,NA,NA,NA,NA,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000202,NA,NA,NA,NA,NA,NA,5.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-14,351.63,NA,NA,0.017127,NA,NA,3.48,NA,NA,NA,NA,0.002475,NA,NA,0.383506,NA,NA,NA,NA,NA,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000196,NA,NA,NA,NA,NA,NA,5.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-15,345.35,NA,NA,0.018242,NA,NA,3.45,NA,NA,NA,NA,0.002574,NA,NA,0.382897,NA,NA,NA,NA,NA,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000188,NA,NA,NA,NA,NA,NA,4.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-16,327.06,NA,NA,0.021539,NA,NA,3.02,NA,NA,NA,NA,0.00325,NA,NA,0.337857,NA,NA,NA,NA,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000173,NA,NA,NA,NA,NA,NA,4.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-17,319.78,NA,NA,0.026065,NA,NA,2.94,NA,NA,NA,NA,0.004104,NA,NA,0.338319,NA,NA,NA,NA,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000179,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-18,311.4,NA,NA,0.02794,NA,NA,2.81,NA,NA,NA,NA,0.006146,NA,NA,0.316383,NA,NA,NA,NA,NA,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000177,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-19,317.84,NA,NA,0.023338,NA,NA,2.87,NA,NA,NA,NA,0.00613,NA,NA,0.319859,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000194,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-20,329.96,NA,NA,0.024207,NA,NA,2.92,NA,NA,NA,NA,0.005813,NA,NA,0.339099,NA,NA,NA,NA,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000206,NA,NA,NA,NA,NA,NA,4.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-21,320.84,NA,NA,0.024921,NA,NA,2.85,NA,NA,NA,NA,0.005871,NA,NA,0.343806,NA,NA,NA,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000193,NA,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-22,331.89,NA,NA,0.025562,NA,NA,2.89,NA,NA,NA,NA,0.005907,NA,NA,0.344799,NA,NA,NA,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000195,NA,NA,NA,NA,NA,NA,3.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-23,334.57,NA,NA,0.023878,NA,NA,2.88,NA,NA,NA,NA,0.00582,NA,NA,0.381093,NA,NA,NA,NA,NA,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000195,NA,NA,NA,NA,NA,NA,4.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-24,322.53,NA,NA,0.023382,NA,NA,2.74,NA,NA,NA,NA,0.005101,NA,NA,0.425367,NA,NA,NA,NA,NA,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00019,NA,NA,NA,NA,NA,NA,3.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-25,319.01,NA,NA,0.024138,NA,NA,2.7,NA,NA,NA,NA,0.0058,NA,NA,0.452427,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000185,NA,NA,NA,NA,NA,NA,3.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-26,327.92,NA,NA,0.025308,NA,NA,2.78,NA,NA,NA,NA,0.006213,NA,NA,0.4337,NA,NA,NA,NA,NA,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00019,NA,NA,NA,NA,NA,NA,4.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-27,315.86,NA,NA,0.024074,NA,NA,2.72,NA,NA,NA,NA,0.006015,NA,NA,0.510573,NA,NA,NA,NA,NA,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000184,NA,NA,NA,NA,NA,NA,4.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-28,317.24,NA,NA,0.023764,NA,NA,2.73,NA,NA,NA,NA,0.0058,NA,NA,0.563872,NA,NA,NA,NA,NA,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000184,NA,NA,NA,NA,NA,NA,4.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-29,312.67,NA,NA,0.024231,NA,NA,2.69,NA,NA,NA,NA,0.00562,NA,NA,0.487799,NA,NA,NA,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000182,NA,NA,NA,NA,NA,NA,4.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-30,310.74,NA,NA,0.0242,NA,NA,2.7,NA,NA,NA,NA,0.005484,NA,NA,0.489046,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000179,NA,NA,NA,NA,NA,NA,4.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-31,320.19,NA,NA,0.024438,NA,NA,2.72,NA,NA,NA,NA,0.005516,NA,NA,0.43466,NA,NA,NA,NA,NA,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000187,NA,NA,NA,NA,NA,NA,4.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01,314.25,NA,NA,0.02439,NA,NA,2.7,NA,NA,NA,NA,0.005493,NA,NA,0.46576,NA,NA,NA,NA,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000183,NA,NA,NA,NA,NA,NA,4.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02,315.03,NA,NA,0.024318,NA,NA,2.67,NA,NA,NA,NA,0.005481,NA,NA,0.459137,NA,NA,NA,NA,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000186,NA,NA,NA,NA,NA,NA,4.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03,281.08,NA,NA,0.022106,NA,NA,2.13,NA,NA,NA,NA,0.004672,NA,NA,0.461172,NA,NA,NA,NA,NA,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000167,NA,NA,NA,NA,NA,NA,4.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04,264.2,NA,NA,0.018928,NA,NA,1.96,NA,NA,NA,NA,0.004416,NA,NA,0.417234,NA,NA,NA,NA,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000158,NA,NA,NA,NA,NA,NA,4.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-05,274.47,NA,NA,0.020316,NA,NA,2.08,NA,NA,NA,NA,0.004947,NA,NA,0.421412,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000161,NA,NA,NA,NA,NA,NA,4.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-06,286.19,NA,NA,0.020732,NA,NA,2.11,NA,NA,NA,NA,0.004972,NA,NA,0.461609,NA,NA,NA,NA,NA,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000168,NA,NA,NA,NA,NA,NA,4.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-07,294.34,NA,NA,0.020843,NA,NA,2.12,NA,NA,NA,NA,0.005284,NA,NA,0.463607,NA,NA,NA,NA,NA,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000173,NA,NA,NA,NA,NA,NA,5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-08,283.35,NA,NA,0.020676,NA,NA,2.01,NA,NA,NA,NA,0.005567,NA,NA,0.429175,NA,NA,NA,NA,NA,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000168,NA,NA,NA,NA,NA,NA,4.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-09,290.41,NA,NA,0.020576,NA,NA,1.98,NA,NA,NA,NA,0.005622,NA,NA,0.431801,NA,NA,NA,NA,NA,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000171,NA,NA,NA,NA,NA,NA,4.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-10,274.8,NA,NA,0.019233,NA,NA,1.65,NA,NA,NA,NA,0.00518,NA,NA,0.419216,NA,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000162,NA,NA,NA,NA,NA,NA,5.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-11,265.66,NA,NA,0.018765,NA,NA,1.72,NA,NA,NA,NA,0.005062,NA,NA,0.378748,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00016,NA,NA,NA,NA,NA,NA,4.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-12,267.8,NA,NA,0.018434,NA,NA,1.71,NA,NA,NA,NA,0.004903,NA,NA,0.364316,NA,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000156,NA,NA,NA,NA,NA,NA,4.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-13,225.86,NA,NA,0.015648,NA,NA,1.54,NA,NA,NA,NA,0.004053,NA,NA,0.309479,NA,NA,NA,NA,NA,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000136,NA,NA,NA,NA,NA,NA,3.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-14,178.1,NA,NA,0.014233,NA,NA,1.16,NA,NA,NA,NA,0.004318,NA,NA,0.223522,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000115,NA,NA,NA,NA,NA,NA,3.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-15,209.84,NA,NA,0.016444,NA,NA,1.28,NA,NA,NA,NA,0.005013,NA,NA,0.261714,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014,NA,NA,NA,NA,NA,NA,3.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-16,208.1,NA,NA,0.016403,NA,NA,1.4,NA,NA,NA,NA,0.004458,NA,NA,0.278449,NA,NA,NA,NA,NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000142,NA,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-17,199.26,NA,NA,0.015361,NA,NA,1.29,NA,NA,NA,NA,0.004617,NA,NA,0.248057,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000135,NA,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-18,210.34,NA,NA,0.015622,NA,NA,1.33,NA,NA,NA,NA,0.004739,NA,NA,0.258656,NA,NA,NA,NA,NA,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014,NA,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-19,214.86,NA,NA,0.015991,NA,NA,1.34,NA,NA,NA,NA,0.004829,NA,NA,0.254181,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-20,211.32,NA,NA,0.016112,NA,NA,1.32,NA,NA,NA,NA,0.004743,NA,NA,0.236223,NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000141,NA,NA,NA,NA,NA,NA,4.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-21,226.9,NA,NA,0.016653,NA,NA,1.37,NA,NA,NA,NA,0.005054,NA,NA,0.261268,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000153,NA,NA,NA,NA,NA,NA,4.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-22,233.41,NA,NA,0.01701,NA,NA,1.42,NA,NA,NA,NA,0.004914,NA,NA,0.273442,NA,NA,NA,NA,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000155,NA,NA,NA,NA,NA,NA,4.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-23,232.88,NA,NA,0.016734,NA,NA,1.43,NA,NA,NA,NA,0.004881,NA,NA,0.283141,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000156,NA,NA,NA,NA,NA,NA,4.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-24,247.85,NA,NA,0.016736,NA,NA,1.84,NA,NA,NA,NA,0.005038,NA,NA,0.298369,NA,NA,NA,NA,NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000166,NA,NA,NA,NA,NA,NA,5.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-25,253.72,NA,NA,0.016578,NA,NA,2.25,NA,NA,NA,NA,0.00479,NA,NA,0.310227,NA,NA,NA,NA,NA,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000166,NA,NA,NA,NA,NA,NA,6.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-26,273.47,NA,NA,0.016019,NA,NA,2.08,NA,NA,NA,NA,0.004709,NA,NA,0.317078,NA,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000163,NA,NA,NA,NA,NA,NA,7.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-27,263.48,NA,NA,0.015841,NA,NA,2.09,NA,NA,NA,NA,0.004816,NA,NA,0.320371,NA,NA,NA,NA,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000158,NA,NA,NA,NA,NA,NA,6.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-28,233.91,NA,NA,0.01497,NA,NA,1.87,NA,NA,NA,NA,0.004895,NA,NA,0.290979,NA,NA,NA,NA,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000144,NA,NA,NA,NA,NA,NA,6.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-29,233.51,NA,NA,0.014706,NA,NA,1.92,NA,NA,NA,NA,0.004556,NA,NA,0.309911,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000147,NA,NA,NA,NA,NA,NA,6.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-30,226.43,NA,NA,0.014443,NA,NA,1.9,NA,NA,NA,NA,0.004462,NA,NA,0.294018,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000142,NA,NA,NA,NA,NA,NA,7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-31,217.46,NA,NA,0.014298,NA,NA,1.87,NA,NA,NA,NA,0.004334,NA,NA,0.284363,NA,NA,NA,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000139,NA,NA,NA,NA,NA,NA,0.000109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
